PROVINSI;KAB/KOT;ID;NDBI;NDVI;NDWI;CO2;CO;NO2;Curah Hujan (BMKG);Temperature (BMKG);Kelembaban (BMKG);KEP. PENDUDUK;JUMLAH PENDUDUK;PRESENTASE PENDUDUK MISKIN;JUMLAH DOKTER;RASIO DOKTER
Jawa Timur;Lumajang;ID3508;-0,21486;0,675791913;-0,6133;0,000114;0,026755369;0,0000441;5,3499;25,2272;83,4806;625;1147261;8,93;395;0,34429829
Jawa Timur;Jember;ID3509;-0,20703;0,683588561;-0,6133;0,000120;0,027439572;0,0000448;4,1127;25,4384;84,1039;820;2584771;9,51;900;0,348193322
Jawa Timur;Banyuwangi;ID3510;-0,22267;0,644529275;-0,5820;0,000098;0,026573985;0,0000407;4,3819;25,8200;84,1306;295;1744814;7,34;633;0,362789386
Jawa Timur;Bondowoso;ID3511;-0,19143;0,667969648;-0,6133;0,000124;0,025911413;0,0000486;4,8983;24,3296;80,9496;509;784192;13,34;239;0,304772301
Jawa Timur;Situbondo;ID3512;-0,12110;0,589851575;-0,5742;0,000121;0,027194298;0,0000503;2,9999;26,8052;77,8721;411;694081;11,9;220;0,316965887
Jawa Timur;Probolinggo;ID3513;-0,16017;0,589835442;-0,5664;0,000156;0,027688128;0,0000623;4,6880;25,3099;79,5548;679;1163859;17,19;280;0,24057897
Jawa Timur;Pasuruan;ID3514;-0,12892;0,527356389;-0,5195;0,000174;0,029646515;0,0000662;3,9474;25,6508;76,5173;1.090;1626029;9,24;559;0,343782306
Jawa Timur;Sidoarjo;ID3515;-0,09767;0,32420475;-0,3477;0,000183;0,030936792;0,0000684;3,7209;27,9373;73,0737;3.283;2114588;5;1.949;0,921692547
Jawa Timur;Mojokerto;ID3516;-0,09767;0,472663606;-0,4649;0,000193;0,03074134;0,0000748;4,4503;25,8727;77,2955;1.559;1141516;9,8;651;0,57029424
Jawa Timur;Jombang;ID3517;-0,08985;0,511726617;-0,4883;0,000198;0,030983732;0,0000676;4,2534;26,7124;77,6233;1.182;1345886;9,15;560;0,416082789
Jawa Timur;Nganjuk;ID3518;-0,05077;0,503863672;-0,5195;0,000180;0,030375993;0,0000588;3,9891;26,4301;77,8935;902;1124247;10,89;332;0,295308771
Jawa Timur;Madiun;ID3519;-0,01951;0,496039938;-0,5117;0,000170;0,029893098;0,0000574;4,2726;26,1072;78,8870;717;765135;11,04;247;0,322818849
Jawa Timur;Magetan;ID3520;-0,08984;0,550791501;-0,5508;0,000156;0,028218712;0,0000522;4,2267;25,7982;77,8994;974;682466;9,8;231;0,3384784
Jawa Timur;Ngawi;ID3521;-0,05859;0,503851725;-0,5039;0,000170;0,029929582;0,0000566;4,2872;27,2741;74,1663;671;881393;14,4;386;0,43794312
Jawa Timur;Bojonegoro;ID3522;0,02736;0,394513664;-0,4492;0,000178;0,030631006;0,0000597;4,0972;27,4877;75,0351;592;1322474;12,18;458;0,346320608
Jawa Timur;Tuban;ID3523;0,07424;0,363268654;-0,4492;0,000165;0,03069072;0,0000624;3,3279;27,6589;76,7002;653;1215795;14,91;425;0,349565511
Jawa Timur;Lamongan;ID3524;-0,00392;0,34763634;-0,4101;0,000181;0,030891333;0,0000678;4,2145;27,8907;74,9048;754;1386941;12,42;655;0,472262338
Jawa Timur;Gresik;ID3525;-0,08202;0,316392989;-0,3711;0,000177;0,03041935;0,0000750;4,2756;28,1402;75,6097;1.101;1344648;10,96;1.000;0,743689055
Jawa Timur;Bangkalan;ID3526;-0,01172;0,449209275;-0,4883;0,000145;0,029380263;0,0000544;3,8970;28,3013;75,6123;1.059;1101556;19,35;250;0,226951694
Jawa Timur;Sampang;ID3527;-0,01172;0,410138371;-0,4648;0,000123;0,028513003;0,0000493;3,3491;28,3216;76,1667;786;992210;21,76;190;0,191491721
Jawa Timur;Pamekasan;ID3528;0,01953;0,363269852;-0,4414;0,000109;0,027509521;0,0000469;3,6034;28,1922;75,7418;1.073;862009;13,85;269;0,312061707
Jawa Timur;Sumenep;ID3529;-0,04297;0,460901383;-0,5117;0,000097;0,02772184;0,0000428;3,9332;28,3200;76,3431;563;1143295;18,7;246;0,215167564
Jawa Timur;Kota Kediri;ID3571;-0,04299;0,464892674;-0,4805;0,000193;0,029667033;0,0000589;4,3160;26,0869;79,8708;4.524;290836;7,15;641;2,203991253
Jawa Timur;Kota Blitar;ID3572;-0,01755;0,42578274;-0,4415;0,000133;0,027951397;0,0000469;3,9405;25,8893;81,7243;4.579;153541;7,3;282;1,836642981
Jawa Timur;Kota Malang;ID3573;0,03516;0,316359561;-0,3555;0,000163;0,027760804;0,0000595;5,6916;25,1335;82,2247;5.808;847182;4,26;1.824;2,153020248
Jawa Timur;Kota Probolinggo;ID3574;-0,10551;0,480471651;-0,4962;0,000169;0,029913556;0,0000653;3,0981;27,7354;77,0367;4.229;245174;6,48;256;1,044156395
Jawa Timur;Kota Pasuruan;ID3575;-0,11332;0,355474347;-0,3789;0,000170;0,031134842;0,0000637;3,3638;27,8844;74,4552;5.894;213450;6,6;238;1,115015226
Jawa Timur;Kota Mojokerto;ID3576;0,02734;0,314389177;-0,3478;0,000209;0,031638508;0,0000848;3,7855;27,7405;75,9418;6.553;135414;5,77;366;2,702822456
Jawa Timur;Kota Madiun;ID3577;0,04295;0,347666283;-0,3945;0,000181;0,030062153;0,0000607;4,1398;26,9608;77,7298;5.754;201460;4,74;465;2,308150501
Jawa Timur;Kota Surabaya;ID3578;0,03516;0,183560301;-0,2461;0,000167;0,030174638;0,0000752;4,3449;28,2535;73,2361;8.200;2893698;4,65;6.970;2,408682592
Jawa Timur;Kota Batu;ID3579;-0,19922;0,699237654;-0,6289;0,000119;0,024290811;0,0000475;4,7264;22,0437;81,8098;1.558;218802;3,31;260;1,188288955
Banten;Pandeglang;ID3601;-0,26177;0,746156326;-0,6602;0,000166;0,030896605;0,0000519;5,3775;27,0249;81,8924;474;1312770;9,27;204;0,155396604
Banten;Lebak;ID3602;-0,23833;0,730535657;-0,6368;0,000198;0,030414824;0,0000633;6,3878;25,6817;83,0946;433;1433700;8,68;294;0,205063821
Banten;Tangerang;ID3603;-0,02734;0,308576555;-0,3477;0,000291;0,036826318;0,0001099;4,2757;27,7880;75,2269;3.272;3362610;6,93;2.110;0,627488766
Banten;Serang;ID3604;-0,15235;0,4726567;-0,4648;0,000237;0,03397978;0,0000927;3,9370;27,6678;79,6808;1.144;1682130;4,85;417;0,247899984
Banten;Kota Tangerang;ID3671;0,06640;0,167927632;-0,2226;0,000353;0,038222452;0,0001405;5,0624;27,9981;74,4737;10.937;1950580;5,89;1.632;0,83667422
Banten;Kota Cilegon;ID3672;-0,04294;0,339862628;-0,3945;0,000217;0,03446405;0,0001164;3,0468;28,0944;80,1197;2.772;450510;3,98;402;0,892322035
Banten;Kota Serang;ID3673;-0,07425;0,371051019;-0,3945;0,000252;0,033983164;0,0000983;3,4385;27,9877;80,0913;2.723;723790;6,2;390;0,538830324
Banten;Kota Tangerang Selatan;ID3674;0,03517;0,246052803;-0,3007;0,000326;0,037098932;0,0001546;6,0241;27,9657;75,1839;8.441;1391650;2,57;1.404;1,008874358
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
