PROVINSI;KAB/KOT;ID;NDBI;NDVI;NDWI;CO2;CO;NO2;Curah Hujan (BMKG);Temperature (BMKG);Kelembaban (BMKG);KEP. PENDUDUK;JUMLAH PENDUDUK;PRESENTASE PENDUDUK MISKIN;JUMLAH DOKTER;RASIO DOKTER
Jawa Timur;Bangkalan;ID3526;-0,12109;0,621097;-0,5742;0,0001;0,027141;0,000059;5,9866;27,7696;78,4966;835;1086620;19,44;196;0,180376
Jawa Timur;Sampang;ID3527;-0,11327;0,566411;-0,5274;0,0001;0,02697;0,000055;6,0276;27,8425;78,9749;801;984162;21,61;152;0,154446
Jawa Timur;Pamekasan;ID3528;-0,08983;0,542968;-0,5195;0,0001;0,026418;0,000052;6,8589;27,8020;77,8099;1.079;857818;13,93;243;0,283277
Jawa Timur;Sumenep;ID3529;-0,13670;0,632825;-0,6016;0,0001;0,025916;0,000049;7,1093;27,9791;77,5199;545;1136632;18,76;195;0,171559
Jawa Timur;Kota Kediri;ID3571;-0,16020;0,644556;-0,5743;0,0001;0,027587;0,000065;6,9057;25,6308;83,0282;4.305;289418;7,23;473;1,634314
Jawa Timur;Kota Blitar;ID3572;-0,03516;0,511747;-0,4883;0,0001;0,027032;0,000054;7,2560;25,5954;83,9702;4.577;151960;7,37;208;1,368781
Jawa Timur;Kota Malang;ID3573;0,00392;0,378908;-0,3867;0,0002;0,025959;0,000064;8,2061;25,0361;86,5409;7.617;846126;4,37;2521;2,979462
Jawa Timur;Kota Probolinggo;ID3574;-0,12116;0,542998;-0,5352;0,0001;0,027662;0,000074;5,5755;27,3613;79,7617;4.448;243200;6,65;206;0,847039
Jawa Timur;Kota Pasuruan;ID3575;-0,13675;0,37885;-0,3867;0,0001;0,028379;0,000070;6,5060;27,2053;78,7362;5.424;211497;6,37;162;0,765968
Jawa Timur;Kota Mojokerto;ID3576;-0,01166;0,331942;-0,3398;0,0002;0,028613;0,000086;5,5933;26,8759;81,8351;6.645;134350;5,98;268;1,994790
Jawa Timur;Kota Madiun;ID3577;-0,01951;0,449242;-0,4571;0,0001;0,027907;0,000062;5,8714;26,1316;83,6324;5.514;199192;4,76;332;1,666734
Jawa Timur;Kota Surabaya;ID3578;0,00387;0,207022;-0,2539;0,0001;0,028024;0,000085;5,8561;27,5429;77,4632;8.595;2887223;4,72;7291;2,525264
Jawa Timur;Kota Batu;ID3579;-0,23832;0,74613;-0,6524;0,0001;0,022385;0,000054;7,3586;21,8111;86,5707;1.116;216735;3,79;238;1,098115
Banten;Pandeglang;ID3601;-0,30862;0,785205;-0,6680;0,0001;0,027597;0,000056;10,6284;26,8598;82,0261;472;1298850;9,32;204;0,157062
Banten;Lebak;ID3602;-0,27738;0,785226;-0,6759;0,0002;0,027183;0,000066;11,4963;25,4703;84,8424;433;1417350;8,91;334;0,235651
Banten;Tangerang;ID3603;-0,12111;0,402341;-0,3711;0,0002;0,031563;0,000104;6,1086;27,1697;79,2871;3.262;3321650;6,92;2366;0,712297
Banten;Serang;ID3604;-0,23049;0,519521;-0,4570;0,0002;0,02959;0,000088;6,3975;27,1502;82,3402;1.142;1661370;4,96;405;0,243775
Banten;Kota Tangerang;ID3671;-0,00389;0,167916;-0,1914;0,0003;0,032558;0,000134;6,0129;27,2948;78,6716;10.825;1931640;5,77;1719;0,889917
Banten;Kota Cilegon;ID3672;-0,15237;0,410212;-0,3554;0,0002;0,030264;0,000096;5,5484;27,6163;81,8391;2.771;445060;3,64;522;1,172876
